tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
80889,0.33988953,-346.14398,-92.84237,-1666.8279,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80890,0.33988953,-347.57996,-92.672424,-1668.0238,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80891,0.33988953,-349.0111,-92.50248,-1669.2255,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80892,0.32443237,-350.43787,-92.317085,-1670.4324,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80893,0.32443237,-351.86023,-92.14714,-1671.6444,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80894,0.32443237,-353.278,-92.00844,-1672.8618,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80895,0.32443237,-354.6914,-91.86939,-1674.0844,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80896,0.33988953,-356.1006,-91.73035,-1675.3118,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80897,0.33988953,-357.50574,-91.5604,-1676.5438,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80898,0.33988953,-358.9065,-91.32866,-1677.7809,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80899,0.35534668,-360.3026,-90.98911,-1679.0231,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80900,0.35534668,-361.69415,-90.80372,-1680.2704,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80901,0.35534668,-363.08105,-90.587425,-1681.5228,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80902,0.35534668,-364.46338,-90.38658,-1682.7804,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80903,0.33988953,-365.84125,-90.293884,-1684.0428,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80904,0.32443237,-367.21472,-90.13939,-1685.31,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80905,0.29354858,-368.58386,-89.96979,-1686.582,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80906,0.27809143,-369.94873,-89.79984,-1687.8585,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80907,0.24719238,-371.30933,-89.599,-1689.1395,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80908,0.23175049,-372.66565,-89.398155,-1690.425,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80909,0.21629333,-374.01764,-89.18186,-1691.7151,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80910,0.18539429,-375.3651,-88.96557,-1693.0099,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80911,0.1699524,-376.70825,-88.78052,-1694.3092,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80912,0.15449524,-378.04688,-88.62602,-1695.6132,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80913,0.15449524,-379.38135,-88.502426,-1696.9214,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80914,0.13903809,-380.71143,-88.31703,-1698.234,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80915,0.13903809,-382.037,-88.05439,-1699.5513,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80916,0.12359619,-383.35803,-87.80754,-1700.873,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80917,0.12359619,-384.67456,-87.5449,-1702.1993,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80918,0.1081543,-385.98645,-87.344055,-1703.5302,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
