pitch,yaw,tick,steamid,kill_event_id,segment_number,segment_id
-2.090149,134.37207,2232,76561198389634571,3,7,3_7
-2.090149,134.37207,2233,76561198389634571,3,7,3_7
-2.090149,134.37207,2234,76561198389634571,3,7,3_7
-2.090149,134.37207,2235,76561198389634571,3,8,3_8
-2.090149,134.37207,2236,76561198389634571,3,8,3_8
-2.090149,134.37207,2237,76561198389634571,3,8,3_8
-2.090149,134.37207,2238,76561198389634571,3,8,3_8
-2.090149,134.3501,2239,76561198389634571,3,8,3_8
-2.090149,134.2622,2240,76561198389634571,3,8,3_8
-2.090149,134.13,2241,76561198389634571,3,8,3_8
-2.090149,133.99817,2242,76561198389634571,3,8,3_8
-2.090149,133.93192,2243,76561198389634571,3,8,3_8
-2.0681763,133.90994,2244,76561198389634571,3,8,3_8
-2.0681763,133.90994,2245,76561198389634571,3,8,3_8
-2.0681763,133.88797,2246,76561198389634571,3,8,3_8
-2.0681763,133.866,2247,76561198389634571,3,8,3_8
-2.0681763,133.84402,2248,76561198389634571,3,8,3_8
-2.045868,133.7781,2249,76561198389634571,3,8,3_8
-2.045868,133.75613,2250,76561198389634571,3,8,3_8
-2.045868,133.75613,2251,76561198389634571,3,8,3_8
-2.045868,133.84402,2252,76561198389634571,3,8,3_8
-2.0019226,133.99817,2253,76561198389634571,3,8,3_8
-1.9360046,134.8122,2254,76561198389634571,3,8,3_8
-1.914032,136.35199,2255,76561198389634571,3,8,3_8
-1.8920593,136.92398,2256,76561198389634571,3,8,3_8
-1.8700867,138.37589,2257,76561198389634571,3,8,3_8
-1.8700867,139.21188,2258,76561198389634571,3,8,3_8
-1.8700867,139.49823,2259,76561198389634571,3,8,3_8
-1.914032,140.04788,2260,76561198389634571,3,8,3_8
-1.97995,140.64215,2261,76561198389634571,3,8,3_8
-2.0019226,141.1702,2262,76561198389634571,3,8,3_8
-2.0019226,141.38992,2263,76561198389634571,3,8,3_8
-2.0238953,141.78613,2264,76561198389634571,3,8,3_8
-2.045868,142.11606,2265,76561198389634571,3,8,3_8
-2.0681763,142.3581,2266,76561198389634571,3,8,3_8
-2.090149,142.60013,2267,76561198389634571,3,9,3_9
-2.090149,142.84216,2268,76561198389634571,3,9,3_9
-2.1121216,143.12817,2269,76561198389634571,3,9,3_9
-2.1121216,143.23804,2270,76561198389634571,3,9,3_9
-2.1121216,143.50204,2271,76561198389634571,3,9,3_9
-2.1121216,143.81,2272,76561198389634571,3,9,3_9
-2.1121216,144.2062,2273,76561198389634571,3,9,3_9
-2.1121216,144.62402,2274,76561198389634571,3,9,3_9
-2.1340942,145.2619,2275,76561198389634571,3,9,3_9
-2.1340942,145.81192,2276,76561198389634571,3,9,3_9
-2.1340942,146.33997,2277,76561198389634571,3,9,3_9
-2.1780396,146.86798,2278,76561198389634571,3,9,3_9
-2.1780396,147.06607,2279,76561198389634571,3,9,3_9
-2.1780396,147.70398,2280,76561198389634571,3,9,3_9
-2.1780396,147.92404,2281,76561198389634571,3,9,3_9
-2.1340942,148.49603,2282,76561198389634571,3,9,3_9
-2.1121216,148.69412,2283,76561198389634571,3,9,3_9
-2.045868,149.28806,2284,76561198389634571,3,9,3_9
-2.0019226,149.61798,2285,76561198389634571,3,9,3_9
-1.9579773,149.77216,2286,76561198389634571,3,9,3_9
-1.9360046,149.8161,2287,76561198389634571,3,9,3_9
-1.914032,149.8161,2288,76561198389634571,3,9,3_9
-1.8041687,149.77216,2289,76561198389634571,3,9,3_9
-1.6939545,149.63995,2290,76561198389634571,3,9,3_9
-1.5840912,149.35397,2291,76561198389634571,3,9,3_9
-1.473877,148.91418,2292,76561198389634571,3,9,3_9
-1.4299316,148.7161,2293,76561198389634571,3,9,3_9
-1.342041,148.27594,2294,76561198389634571,3,9,3_9
-1.2541504,147.92404,2295,76561198389634571,3,9,3_9
-1.1439514,147.72595,2296,76561198389634571,3,9,3_9
-1.1219788,147.682,2297,76561198389634571,3,9,3_9
-1.1219788,147.682,2298,76561198389634571,3,9,3_9
-4.553833,178.69812,22357,76561198389634571,4,1,4_1
-4.553833,178.69812,22358,76561198389634571,4,1,4_1
-4.553833,178.69812,22359,76561198389634571,4,1,4_1
-4.553833,178.69812,22360,76561198389634571,4,1,4_1
-4.553833,178.69812,22361,76561198389634571,4,1,4_1
-4.553833,178.69812,22362,76561198389634571,4,1,4_1
-4.553833,178.69812,22363,76561198389634571,4,1,4_1
-4.553833,178.69812,22364,76561198389634571,4,1,4_1
-4.553833,178.69812,22365,76561198389634571,4,1,4_1
-4.553833,178.69812,22366,76561198389634571,4,1,4_1
-4.553833,178.69812,22367,76561198389634571,4,1,4_1
-4.553833,178.69812,22368,76561198389634571,4,1,4_1
-4.553833,178.69812,22369,76561198389634571,4,1,4_1
