tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
13961,10.5177,635.5703,-161.77849,222.91855,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13962,10.327835,635.05585,-162.72916,224.45114,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13963,10.137634,634.5398,-163.71106,226.0079,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13964,9.97937,634.02515,-164.91508,227.5898,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13965,9.915848,633.5125,-165.51694,229.19696,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13966,9.884262,633.0023,-165.7703,230.82947,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13967,9.884262,632.49396,-165.80188,232.48709,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13968,9.852325,631.98645,-165.80188,234.16946,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13969,9.725647,631.4801,-166.0556,235.87665,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13970,9.440689,630.97675,-166.78413,237.60915,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13971,9.060638,630.47955,-168.08292,239.36778,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13972,8.521957,629.9952,-170.55417,241.15428,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13973,8.10997,629.53046,-172.99347,242.97021,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
