tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
60752,0.9187317,-132.80542,-68.06648,-882.23413,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60753,0.8868103,-132.11987,-68.06648,-883.92883,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60754,0.8868103,-131.43439,-68.09807,-885.6236,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60755,0.8868103,-130.74927,-68.09807,-887.3185,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60756,0.8868103,-130.06433,-68.09807,-889.0134,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60757,0.8552246,-129.37976,-68.09807,-890.70856,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60758,0.8236389,-128.69556,-68.09807,-892.4038,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60759,0.7920532,-128.01135,-68.06648,-894.09906,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60760,0.7601166,-127.32703,-68.0349,-895.79425,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60761,0.7601166,-126.6427,-68.0349,-897.48944,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60762,0.7601166,-125.958374,-68.0349,-899.18463,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
