tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
25594,9.662476,491.20105,-101.30081,36.04307,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25595,9.725647,488.4344,-100.635796,34.13757,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25596,9.725647,485.66937,-99.812164,32.229656,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25597,9.725647,482.9079,-99.11522,30.316643,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25598,9.694061,480.1519,-98.25966,28.395746,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25599,9.662476,477.40408,-97.11914,26.46315,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25600,9.662476,474.66385,-97.11914,24.519812,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25601,9.630554,471.93802,-94.64825,22.556332,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25602,9.630554,469.22897,-93.539314,20.569738,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25603,9.630554,466.53793,-92.6841,18.558842,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25604,9.5989685,463.9202,-92.240524,16.498114,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25605,9.5989685,461.50064,-92.08225,14.318958,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25606,9.567383,459.3109,-92.01874,12.002499,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25607,9.567383,457.28894,-92.01874,9.58555,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25608,9.535797,455.42145,-91.98715,7.0766315,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25609,9.535797,453.69574,-91.98715,4.4829254,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25610,9.440689,452.11014,-91.82854,2.100133,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25611,9.313995,450.6533,-91.51199,-0.08886719,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25612,9.187317,449.31485,-91.036835,-2.1002197,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25613,9.060638,448.085,-90.466576,-3.9482422,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25614,8.933594,446.9555,-89.8328,-5.7631226,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25615,8.870422,445.91913,-89.515915,-7.6049194,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25616,8.838837,445.08752,-89.35764,-9.141174,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25617,8.838837,444.33093,-89.32606,-10.715698,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25618,8.838837,443.64423,-89.32606,-12.32196,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25619,8.806915,443.02213,-89.32606,-13.954285,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
