tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
143830,-6.7480164,218.60167,-41.067932,-1210.8002,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143831,-8.268585,218.14456,-39.103775,-1212.1794,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143832,-9.662476,217.62029,-36.632874,-1213.5867,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143833,-10.9296875,217.04228,-33.528214,-1215.0249,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143834,-12.260056,216.42563,-29.409714,-1216.4983,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143835,-13.62236,215.78616,-24.752884,-1218.0105,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143836,-14.8263855,215.14082,-19.367188,-1219.5643,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143837,-15.998505,214.50713,-13.537903,-1221.1617,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143838,-16.822128,213.92505,-9.134445,-1222.6294,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143839,-17.0755,213.38191,-7.7721405,-1223.986,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143840,-17.107086,212.9056,-7.835663,-1225.0642,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143841,-17.265701,212.51088,-8.405914,-1225.8188,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143842,-17.392395,212.19109,-9.197968,-1226.3112,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143843,-17.455566,211.95631,-9.736633,-1226.5464,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143844,-17.455566,211.82304,-9.768219,-1226.5376,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143845,-17.455566,211.82094,-9.768219,-1226.3634,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143846,-17.455566,211.84944,-9.704712,-1226.1188,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
