tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
64113,3.7065125,101.36659,158.245,-1224.1272,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64114,3.4215546,98.08574,157.64316,-1222.864,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64115,3.1681824,94.80823,157.04099,-1221.5922,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64116,2.9148102,91.535034,156.40753,-1220.3093,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64117,2.6930237,88.26721,155.7106,-1219.0128,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64118,2.3445435,85.00634,154.69678,-1217.6989,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64119,2.0908356,81.753586,153.80963,-1216.365,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64120,1.8058777,78.51024,152.92249,-1215.0084,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64121,1.4573975,75.278496,151.62369,-1213.6244,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64122,1.1089325,72.060844,150.07153,-1212.2079,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64123,0.72888184,68.84949,147.88559,-1210.7925,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64124,0.4119873,65.60309,145.50946,-1209.5465,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64125,0.15861511,62.314056,142.88028,-1208.4774,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64126,-0.031585693,58.99144,139.9339,-1207.5211,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64127,-0.15826416,55.637005,137.36789,-1206.655,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
