tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
97763,3.136261,239.9685,42.192993,-1049.5139,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97764,3.199768,239.96802,42.699738,-1050.8756,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97765,3.199768,240.25632,43.048218,-1052.1364,-415.79156,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97766,2.9779816,240.80981,43.42862,-1053.3029,-415.4226,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97767,2.5344086,241.60698,44.093628,-1054.3789,-414.8911,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97768,1.7423706,242.62802,45.29767,-1055.366,-414.21045,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97769,0.6969452,243.85483,46.881744,-1056.2633,-413.39258,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97770,-0.15826416,245.27022,48.148956,-1057.0718,-412.44897,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97771,-1.1089325,246.85835,49.41617,-1057.7922,-411.3902,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97772,-1.9957275,248.60493,50.271378,-1058.4276,-410.22583,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97773,-2.756195,250.49672,50.588257,-1058.9834,-408.9646,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97774,-3.2948608,252.52211,50.746536,-1059.4652,-407.61438,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97775,-4.0549927,254.66986,50.936737,-1059.8779,-406.1825,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97776,-4.625244,256.9301,51.126587,-1060.2264,-404.67566,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97777,-5.1954956,259.2935,51.25363,-1060.5151,-403.1001,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97778,-5.7341766,261.75195,51.25363,-1060.749,-401.46118,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97779,-6.1777496,264.29755,51.095,-1060.9335,-399.76404,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97780,-6.5262146,266.90604,50.841644,-1061.0728,-398.0251,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97781,-6.684494,269.4857,50.746536,-1060.98,-396.3053,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97782,-6.7160797,272.03455,50.746536,-1060.6392,-394.60608,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97783,-6.7480164,274.55917,50.746536,-1060.1023,-392.92297,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97784,-6.779602,277.06137,50.746536,-1059.3855,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97785,-6.8111877,279.54282,50.778122,-1058.5035,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97786,-6.969452,282.00436,50.936737,-1057.469,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97787,-7.0645447,284.3926,51.03183,-1056.313,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97788,-7.0645447,286.56067,51.063416,-1054.9677,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97789,-7.0964813,288.4738,51.063416,-1053.4027,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97790,-7.1912384,290.20087,51.126938,-1051.6776,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97791,-7.4449463,291.75638,51.25363,-1049.8059,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97792,-7.761505,293.1532,51.411896,-1047.7993,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97793,-8.173492,294.4034,51.57016,-1045.669,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97794,-8.490372,295.51874,51.633682,-1043.4252,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97795,-8.870422,296.51007,51.665268,-1041.0768,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97796,-9.313995,297.38745,51.665268,-1038.6324,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97797,-9.5989685,298.1602,51.602097,-1036.1001,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97798,-9.947433,298.8374,51.50699,-1033.4866,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97799,-10.264313,299.4273,51.38031,-1030.7985,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97800,-10.454529,299.96945,51.285217,-1028.3286,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97801,-10.6763,300.46762,51.158524,-1026.0593,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97802,-10.898102,300.9254,50.90515,-1023.9744,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97803,-11.119537,301.30008,50.588257,-1022.2682,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97804,-11.341324,301.62375,50.23979,-1020.5516,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97805,-11.531525,301.90182,49.891327,-1018.82697,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97806,-11.753311,302.1396,49.574432,-1017.0964,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97807,-11.911591,302.34113,49.38423,-1015.36115,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97808,-12.07019,302.51132,49.162445,-1013.62256,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97809,-12.196884,302.65472,48.94066,-1011.8816,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97810,-12.355164,302.77487,48.750793,-1010.13885,-391.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
