tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
113650,8.205078,835.64496,-3.7480469,-1374.7874,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113651,8.205078,837.591,-3.7480469,-1374.9119,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113652,8.205078,839.537,-3.7480469,-1375.0369,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113653,8.205078,841.483,-3.7480469,-1375.1619,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113654,8.205078,843.42896,-3.7480469,-1375.2869,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113655,8.205078,845.37494,-3.7480469,-1375.4119,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113656,8.205078,847.3209,-3.7480469,-1375.5369,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113657,8.205078,849.2669,-3.7480469,-1375.6619,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113658,8.2369995,851.2129,-3.7480469,-1375.7869,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113659,8.268585,853.1589,-3.8115692,-1375.912,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113660,8.300171,855.1048,-3.938263,-1376.038,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113661,8.363678,857.05066,-4.096527,-1376.1648,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113662,8.458786,858.99646,-4.3183136,-1376.2931,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113663,8.838837,860.942,-4.920166,-1376.4244,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113664,9.092224,862.88727,-5.5539246,-1376.5607,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113665,9.28241,864.8321,-6.0290833,-1376.7028,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113666,9.440689,866.7764,-6.4410706,-1376.851,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113667,9.504211,868.7203,-6.6309357,-1377.0055,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113668,9.504211,870.6637,-6.6309357,-1377.1658,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113669,9.504211,872.6066,-6.6309357,-1377.3314,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113670,9.504211,874.54913,-6.6309357,-1377.5021,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113671,9.504211,876.4913,-6.6309357,-1377.6771,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113672,9.504211,878.43304,-6.6309357,-1377.8563,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113673,9.504211,880.37445,-6.59935,-1378.039,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113674,9.504211,882.31555,-6.5677643,-1378.2251,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113675,9.504211,884.25635,-6.5358276,-1378.4143,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113676,9.535797,886.1969,-6.5358276,-1378.6062,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113677,9.567383,888.1372,-6.5358276,-1378.8003,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113678,9.5989685,890.0773,-6.5358276,-1378.9967,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113679,9.662476,892.01715,-6.504242,-1379.1952,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
