tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
40049,-8.057434,-653.36926,-30.505249,-1580.0784,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40050,-8.0849,-653.8945,-30.533066,-1580.8615,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40051,-8.1401825,-654.36304,-30.615463,-1581.56,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40052,-8.1401825,-654.77496,-30.670395,-1582.1742,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40053,-8.167648,-655.13025,-30.69786,-1582.7039,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40054,-8.167648,-655.4289,-30.69786,-1583.149,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40055,-8.167648,-655.6709,-30.64293,-1583.5098,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40056,-8.167648,-655.85626,-30.450317,-1583.786,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40057,-8.167648,-655.985,-30.395386,-1583.9778,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40058,-8.167648,-656.05707,-30.395386,-1584.0851,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40059,-8.167648,-656.07245,-30.395386,-1584.1079,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40060,-8.1401825,-656.0644,-30.505249,-1584.0942,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40061,-8.029968,-655.91205,-30.64293,-1583.8368,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40062,-7.809906,-655.6453,-31.027802,-1583.3904,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40063,-7.425049,-655.2774,-32.04541,-1582.7864,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
